Codigo,,,,,,,,,,,,Precio Referencial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONTROL,
OG,OE,OP,AC,Codigo control,Proyecto,Grupo,Partida,Código Actividad Sistema,Detalle de actividad,Cant. ,Costo Unit., (Costo Total  Bs.) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1111,RAINFOREST,SERVICIOS_PROFESIONALES_Y_DE_CONSULTORÍA_RF,CONSULTORES,A5,Construcción de Zonificaciones de APs,1,"50.000,00","50.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50.000,00","4.375.734,78"
1,1,1,1,1111,AKAM_CCAM,LOCAL_PARTNER_STAFF_AND_VOLUNTEERS,CONSULTORES,,,5,"10.000,00","50.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50.000,00",
1,,,,1,AAF_10,TALLERES_Y_REUNIONES,TALLERES,,,,,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",
1,1,3,1,1131,AAF9_BENI,CONSULTORES_AAF,CONSULTOR 1,A2.3 / Área B,Creación de Áreas Protegidas en el Beni,1,,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",
1,1,3,1,1131,AAF_10,CONSULTORES_AAF,CONSULTOR 1,A1,Creación de Áreas Protegidas en el Beni,1,,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",
1,2,1,1,1211,RAINFOREST,SERVICIOS_PROFESIONALES_Y_DE_CONSULTORÍA_RF,CONSULTORES,A1.7 / 2 / 2.2,Elaboración de los reglamentos municipales de pesca ,1,"52.403,71","52.403,71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52.403,71",
1,2,2,1,1221,AAF_10,,,,Construcción de Zonificaciones de APs Beni,,,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",
1,2,2,1,1221,RAINFOREST,SERVICIOS_PROFESIONALES_Y_DE_CONSULTORÍA_RF,CONSULTORES,A2.3 / ,Construcción de Zonificaciones de APs,1,"100.000,00","100.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100.000,00",
1,2,2,1,1221,AAF9_PANDO,CONSULTORES_AAF,CONSULTOR 1,A2.4 / Area E / Pasajes Aéreos,Construcción de Zonificaciones de APs,1,"28.000,00","28.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28.000,00",
1,2,2,1,1221,RAINFOREST,SERVICIOS_PROFESIONALES_Y_DE_CONSULTORÍA_RF,CONSULTORES,A2.1 / 2 / 2.6,Construcción de Zonificaciones de APs,1,"62.000,00","62.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"62.000,00",
1,2,2,1,1221,AAF9_PANDO,CONSULTORES_AAF,CONSULTOR 1,A2.2 / Area C / Talleres,Construcción de Zonificaciones de APs,1,"20.000,00","20.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20.000,00",
1,2,2,1,1221,AAF9_PANDO,CONSULTORES_AAF,CONSULTOR 1,,Construcción de Zonificaciones de APs,1,"30.000,00","30.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.000,00",
1,2,2,1,1221,RE_WILD_2,CONSULTORES_REWILD,CONSULTORES,A1.1,Construcción de Zonificaciones de APs,1,"130.000,00","130.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"130.000,00",
1,2,2,1,1221,RAINFOREST,VIAJES_RF,PASAJES AÉREOS NACIONALES,A2.2 / 7 / 7.5,Construcción de Zonificaciones de APs,1,"1.604,20","1.604,20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.604,20",
1,2,2,1,1221,RAINFOREST,VIAJES_RF,PASAJES TERRESTRES NACIONALES,A2.2 / 7 / 7.5,Construcción de Zonificaciones de APs,1,"1.604,19","1.604,19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.604,19",
1,2,2,1,1221,RAINFOREST,VIAJES_RF,COMBUSTIBLE,A2.2 / 7 / 7.5,Construcción de Zonificaciones de APs,1,"1.604,19","1.604,19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.604,19",
1,2,2,1,1221,RAINFOREST,VIAJES_RF,ALQUILER VEHÍCULOS,A2.2 / 7 / 7.5,Construcción de Zonificaciones de APs,1,"1.604,19","1.604,19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.604,19",
1,2,2,1,1221,RAINFOREST,VIAJES_RF,"PAGO PONTÓN, PEAJES, ETC",A2.2 / 7 / 7.5,Construcción de Zonificaciones de APs,1,"1.604,19","1.604,19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.604,19",
1,2,2,1,1221,RAINFOREST,VIAJES_RF,VIÁTICOS,A2.2 / 7 / 7.5,Construcción de Zonificaciones de APs,1,"1.604,19","1.604,19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.604,19",
1,2,2,1,1221,RAINFOREST,VIAJES_RF,HOSPEDAJE NACIONAL,A2.2 / 7 / 7.5,Construcción de Zonificaciones de APs,1,"1.604,19","1.604,19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.604,19",
1,2,2,2,1222,RAINFOREST,SERVICIOS_PROFESIONALES_Y_DE_CONSULTORÍA_RF,CONSULTORES,A2.1 / 2 / 2.6,Construcción de las Agendas Estratégicas de APs,1,"200.000,00","200.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200.000,00",
1,2,2,2,1222,AAF9_PANDO,CONSULTORES_AAF,CONSULTOR 1,A1.1 / Area B / Talleres,Construcción de las Agendas Estratégicas de APs,1,"15.000,00","15.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15.000,00",
1,2,2,2,1222,AAF9_PANDO,CONSULTORES_AAF,CONSULTOR 1,A2.2 / Area C / Talleres,Construcción de las Agendas Estratégicas de APs,1,"20.000,00","20.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20.000,00",
1,2,2,2,1222,AAF9_PANDO,CONSULTORES_AAF,CONSULTOR 1,A2.4 / Area E / Pasajes Aéreos,Construcción de las Agendas Estratégicas de APs,1,"30.000,00","30.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.000,00",
